OTU	Aug_P05_0001	Aug_P05_0020	Aug_P05_0213	Aug_P06_0001	Aug_P06_0024	Aug_P06_0500	Aug_P06_1000	Aug_P07_0001	Aug_P07_0025	Aug_P07_0500	Aug_P07_1000	Jan_B08_0001	Jan_B08_0020	Jan_B08_0500	Jan_B08_1000	Jan_B16_0001	Jan_B16_0020	Jan_B16_0500	Jan_B16_1000	Mar_M02_0001	Mar_M02_0320	Mar_M02_1000	Mar_M03_0001	Mar_M03_0020	Mar_M04_0001	Mar_M04_0020	Mar_M05_0020	Mar_M05_0120	Mar_M06_0020	May_P01_0001	May_P01_0020	May_P01_0417	May_P03_0001	May_P03_0015	May_P03_0447	May_P04_0001	May_P04_0015	May_P04_0500	May_P04_1000	Nov_N02_0020	Nov_N03_0020	Nov_N03_0300	Nov_N04_0020	Nov_N04_1000
ASV_24_DG-I-Clade-1	-0.4007939910771796	6.1051981559391635	6.622688335563572	-0.3420717412893577	-0.43738864667247235	7.959202595348527	-0.18544069055993617	-0.2794776044362095	-0.2796439566300144	6.453358515525175	9.410759232344331	6.385220900230088	6.788026450589463	6.034485851904734	7.297066431677537	7.135742430014903	7.14084706499948	6.632283035924088	6.327546733020634	7.846822788024731	8.230291627445387	5.521969659910631	8.93804477828315	8.144617047179263	8.373635637795731	8.041753378957992	8.520137828307364	8.649728760687116	6.596817581321637	6.15419522996502	6.304197120438235	4.9790782950622	6.289881398077081	-0.344724052742615	5.963546853556877	6.5483826543978445	6.626021024039167	5.99224600080424	6.6539824914672225	6.8373318628024435	-0.6214945391896247	6.1921562833520305	6.1346678504624395	10.108402015604593
ASV_20_DG-III_X	8.40386960449468	8.96891312149415	7.646733482284918	10.151213305480441	9.398842468415452	5.405271024461873	7.6765719669796635	9.190102213525043	9.097531320040726	5.8820954782155095	6.08292097163205	3.0866443064846383	5.15326891443239	5.241488059987598	-0.9785645623638448	5.471339453912041	5.30643414573314	-0.44428268432921314	-0.6287199419630252	5.3287913351936265	3.717062072858475	-0.7258612872079269	8.76928138786638	5.895448398144319	8.395611950103044	4.191874196002258	6.070769000435735	5.480430303140509	3.9969250590320584	7.261465420705156	7.07151502576912	3.647702156461179	7.085418478546466	6.974043544214126	-0.4938648108114574	4.228608860073294	7.699207291821887	-0.806144107412246	4.483718731604382	7.095251196437333	8.6500432423681	6.648514912952079	6.1346678504624395	5.100201240707918
ASV_55_DG-II-Clade-5	6.209695632572932	6.895636067335781	7.2154316276121815	-0.3420717412893577	6.567361965527731	6.470656169389672	-0.18544069055993617	5.174930106755739	6.23413573130442	6.489115150653855	5.290144207367777	4.3305498211459454	4.666446486272002	5.122401411429222	5.147612022081223	5.8868804280262905	6.368165781349909	-0.44428268432921314	-0.6287199419630252	5.8476852768594325	-0.7562331015364432	-0.7258612872079269	5.070401321121599	5.2617326454484585	5.167640530315446	5.8597656311862485	5.970826641091623	3.5880207829458435	3.97722956702604	8.622785700936443	8.80983063093337	7.819576608499407	9.09188225451168	9.350182000469893	8.179677680655331	9.576444217200816	8.03086993276957	6.816634065142518	5.105524715830304	6.121728740287755	7.344821234909655	5.468081278061876	5.63941353757306	-0.4966613437759566
ASV_79_DG-II-Clade-13	8.077791228392005	8.091013254759558	6.350978388932291	-0.3420717412893577	5.918846832921563	4.505206117305573	-0.18544069055993617	7.250621893577244	6.880056520922754	4.47210854944087	3.195350625260387	6.2338782516943105	6.025857773964937	6.274238398487191	4.115484800287218	8.286901928015016	8.246466851357312	-0.44428268432921314	-0.6287199419630252	8.118797091352313	-0.7562331015364432	-0.7258612872079269	5.889348804778785	7.642053506327096	6.264287298449373	8.19319535602823	8.062040757849708	5.3192693356065774	5.440890339010914	4.246731337694291	6.608051100797772	6.6717443675113826	4.547527753288268	6.575460773445126	7.553100726267297	-0.1860800704447918	3.564649085760516	5.903402283324477	5.105524715830304	7.663060626972794	7.464633335119356	7.312584310585378	6.393339852147062	-0.4966613437759566
ASV_43_DG-II-Clade-16	-0.4007939910771796	5.33889561468281	6.286502514101434	-0.3420717412893577	-0.43738864667247235	7.128556824159709	-0.18544069055993617	9.147285592253695	-0.2796439566300144	6.661720734487818	7.581667930590745	7.528423723338213	8.203975500919558	8.527912330895038	6.412534781951273	7.334131385292737	7.542498150021809	3.7389110996571944	-0.6287199419630252	7.624641443843475	5.89132969881094	-0.7258612872079269	7.146664374365817	7.338620119153876	6.576398021976331	7.385624123088177	7.739182501990295	6.248563077348355	7.358358905114017	5.573566441327838	4.804876516828189	8.906570193829058	-0.24889822353026503	-0.344724052742615	8.62610416546391	-0.1860800704447918	-0.28412228719097854	7.986849981605822	7.22838406120316	7.2355523430200295	6.307100977983003	9.314637172264536	7.527132112640064	-0.4966613437759566
ASV_76_DG-II-Clade-13	-0.4007939910771796	4.958010349081726	7.953395809328091	-0.3420717412893577	-0.43738864667247235	7.008474101642407	-0.18544069055993617	7.878980068698733	-0.2796439566300144	5.79010085655106	5.290144207367777	6.215676464385697	5.945062433006656	6.686836451355372	5.147612022081223	7.9962529437924195	7.995712910815165	-0.44428268432921314	-0.6287199419630252	8.122966041149184	2.492424007773332	-0.7258612872079269	-0.5490056394309928	6.859137985104947	5.307018218190111	7.692273488709444	7.645241611020391	5.572381609241788	4.798333008014496	8.167677163831279	8.859305320005813	8.042464080559906	7.658657754102279	7.297087428898117	9.202826098679774	4.581647706326731	4.61530244294126	7.602915984229575	6.824146296940028	7.032610830949306	6.70637829680142	7.8338439710706815	4.2719386851774575	-0.4966613437759566
ASV_42_DG-II-Clade-6	-0.4007939910771796	7.593642899532155	7.663678717998971	-0.3420717412893577	-0.43738864667247235	6.762709566984814	-0.18544069055993617	-0.2794776044362095	-0.2796439566300144	8.065986939601146	4.101139277900969	7.1721017584424205	7.076987343083292	6.805871522595966	4.7105580750551335	8.834278784711167	8.909084885231707	5.168757574198528	-0.6287199419630252	8.56870047367461	4.008944257811255	-0.7258612872079269	8.33197216224397	8.474141356160242	8.67333514065185	9.204159006632095	9.381929361715972	7.881402712067683	7.532953119052388	5.029150183456614	-0.2943680510325919	6.209275637936408	-0.24889822353026503	5.320266851651451	6.559139306248952	-0.1860800704447918	-0.28412228719097854	6.621750517005371	5.832359063805425	8.003636629464214	8.339692953166356	6.524553478688769	8.235296556394946	-0.4966613437759566
ASV_54_DG-II-Clade-30	-0.4007939910771796	6.528077809842032	8.536897107092102	-0.3420717412893577	-0.43738864667247235	8.355966556075103	-0.18544069055993617	7.964114505041165	-0.2796439566300144	8.62210887499787	6.5106225629101715	6.877266629344482	6.880505176878346	6.91924741234945	6.567894528415882	8.160338598144445	8.399557538862076	4.663918446442037	-0.6287199419630252	8.399805168646896	5.962588448869831	-0.7258612872079269	6.888969018521105	7.700283712552488	7.62025051638311	8.448729074067467	8.497294234412063	7.2484689417172286	5.850527796060724	-0.25974782082816006	-0.2943680510325919	5.880238281654196	-0.24889822353026503	4.157866500684214	7.276949185447897	-0.1860800704447918	4.026630914714678	6.754145267722051	3.5749774253503386	7.063207109703089	-0.6214945391896247	7.86885779389433	6.229902446904129	-0.4966613437759566
ASV_88_DG-II-Clade-12	-0.4007939910771796	6.811230761487325	6.217581233588329	-0.3420717412893577	-0.43738864667247235	5.735159469462401	7.241463927129371	7.20808561301034	7.5728149822744975	5.210212549897534	4.2822870995118985	4.89270432585489	5.15326891443239	5.391774005266196	4.577509788487359	7.6992666359515765	7.876784395832189	-0.44428268432921314	4.7464890351386755	7.61546931294919	-0.7562331015364432	4.928034422165884	7.0131979499407375	7.1970869830369155	7.013610714034477	7.613820271337071	7.579078700906068	5.831275952128928	4.616492074048436	-0.25974782082816006	-0.2943680510325919	6.447894957110737	-0.24889822353026503	-0.344724052742615	6.798905466683961	6.101029870483808	3.8220844777222087	6.264925866989782	4.483718731604382	6.6287851046235104	8.461662140329597	6.841764864736845	6.289996688199192	-0.4966613437759566
ASV_41_DG-II-Clade-22	-0.4007939910771796	3.6976741821643593	-0.618945916113617	-0.3420717412893577	-0.43738864667247235	5.228396594525267	6.453720343764184	-0.2794776044362095	-0.2796439566300144	3.9064987966689566	4.885750188470109	7.903834679520003	7.9661849592999054	7.864251312600095	3.888219077219812	7.703882013806851	9.56738932889218	-0.44428268432921314	-0.6287199419630252	9.069492242633043	5.620001872351827	3.4129861765337655	8.289418591640677	8.697451508812296	8.385682547056124	8.47696934071099	9.172364770675706	8.671569946386073	7.565921148160509	6.597539041286406	5.443836103508796	6.310174503515053	-0.24889822353026503	-0.344724052742615	6.524683473825108	-0.1860800704447918	3.7434133399551897	7.082999490003648	5.6841488707178955	6.748188756563595	8.357893644414391	4.798590926575037	5.099261534627617	-0.4966613437759566
