OTU	Jan_B08_0001	Jan_B08_0020	Jan_B08_0500	Jan_B08_1000	Jan_B16_0001	Jan_B16_0020	Jan_B16_0500	Jan_B16_1000	Mar_M02_0001	Mar_M02_0320	Mar_M02_1000	Mar_M03_0001	Mar_M03_0020	Mar_M04_0001	Mar_M04_0020	Mar_M05_0020	Mar_M05_0120	Mar_M06_0020	Aug_P05_0001	Aug_P05_0020	Aug_P05_0213	Aug_P06_0001	Aug_P06_0024	Aug_P06_0500	Aug_P06_1000	Aug_P07_0001	Aug_P07_0025	Aug_P07_0500	Aug_P07_1000	May_P01_0001	May_P01_0020	May_P01_0417	May_P03_0001	May_P03_0015	May_P03_0447	May_P04_0001	May_P04_0015	May_P04_0500	May_P04_1000	Nov_N02_0020	Nov_N03_0020	Nov_N03_0300	Nov_N04_0020	Nov_N04_1000
ASV_39_DG-II-Clade-14	4.852561668137082	4.501584239297452	4.430969092859906	4.664207675512047	6.370316558661901	5.449821116740525	3.251911052343565	-0.48029100110001544	7.619466633353608	4.434021051297729	2.091045923894365	5.639818054555033	5.631511097355298	6.687631097456983	7.7392467743381275	6.965831460283953	4.486478276327931	3.7990039699377647	5.239363438391377	5.431628201870733	5.0579917541533	-0.3136103526789942	4.465838894595996	7.0234888886106255	3.6450961347772353	-0.3515025289235272	5.166076407032473	4.0566581304391125	4.456335458962837	6.802761558933297	8.022361589803483	8.087432132595254	6.230787910043447	5.909800456229663	8.714601294917424	6.675789202261716	-0.1601971207983901	6.315048595923525	5.18311549322892	6.130745463790621	5.230868722069865	5.38491330187951	-0.6447972929751646	-0.5231389253115939
ASV_6_DG-II-Clade-6	8.212342883676017	8.219231028711288	7.080405801523614	9.444942353282336	6.292221627781362	5.114275617294604	10.19556098014992	8.078400303633007	7.825472712654415	9.395697299972287	8.152777040795034	7.650906083717883	6.550282487570207	7.723876145694694	7.288600195135624	7.359585280833219	9.436285067777122	6.0921541981201885	-0.36070134761559913	1.9903134477618245	-0.4439999639656893	-0.3136103526789942	-0.5606824077657286	6.61539777135548	5.611251154511799	-0.3515025289235272	-0.5407749048233423	-0.527884158917626	7.040943551419677	-0.15723392396809466	-0.22233264020083254	7.779703485939994	4.627732900080437	-0.2543055358279762	7.650583756697294	-0.190311504663093	-0.1601971207983901	8.044892152772595	8.425200015432605	-0.7300837020726068	7.297263991510015	-0.6205398842371643	-0.6447972929751646	7.208372014452308
ASV_36_DG-I-Clade-2	6.233247439539447	6.465142877059563	5.698318368836554	5.349643097874361	5.862563047830758	6.537324922028636	4.613299487122624	7.06686228947944	6.375713393981554	5.331545061047938	6.551530300439586	6.56164738270208	6.9151067468793705	5.590343840186517	6.542333824070761	6.523907280877607	7.616392579926952	6.124910043615217	-0.36070134761559913	-0.4866208174049973	6.951638871744431	-0.3136103526789942	2.629489554761877	6.353229401668884	6.886618901347539	-0.3515025289235272	4.130696434509316	5.95746654140695	8.384027563512971	4.414312538097452	4.850330499925356	4.5151001835826845	-0.20644565458451147	3.7853881160066365	4.340587581748937	-0.190311504663093	-0.1601971207983901	4.256240569535654	6.1269028211687395	4.5840332312567265	3.171822047623724	-0.6205398842371643	7.319757665196807	7.809114782289713
ASV_12_DG-II-Clade-6	5.46622796671794	4.665941412467818	5.753704033212021	8.798776095120404	3.973499229136256	3.0175090872975243	7.583617131271492	6.995331241465907	5.541641684056917	5.830493016364068	7.739398593611234	6.99514919779412	5.944711274514185	6.004103491336399	5.723309465322118	5.421852332564079	5.31188821471373	5.034745681365965	-0.36070134761559913	-0.4866208174049973	-0.4439999639656893	-0.3136103526789942	2.629489554761877	5.351392318279722	5.289389024186073	-0.3515025289235272	3.05062811837934	3.373667617088702	5.097790465312415	4.414312538097452	4.850330499925356	9.264409975049507	5.316895543516857	5.1583924059162545	9.11166477769713	4.66763979755345	-0.1601971207983901	7.8091789295949505	8.571608058357947	-0.7300837020726068	6.550463687136214	5.434803458058385	-0.6447972929751646	5.147368135143755
ASV_9_DG-II-Clade-7	7.505364062393154	7.272912097878967	7.358063459201709	7.923955388298079	4.575334997448585	3.5177226467337483	7.918327424908166	7.805229634243954	6.984153786713646	8.402176034417636	7.831217050904128	5.963805718728415	4.76884631665005	6.3850545755589305	5.680837006922819	5.545897065841491	8.642135257871848	6.791415653515472	-0.36070134761559913	1.9903134477618245	5.211559601331981	-0.3136103526789942	3.5207712772072544	6.028133407282614	4.04484672293122	-0.3515025289235272	-0.5407749048233423	5.106030877556203	5.097790465312415	-0.15723392396809466	-0.22233264020083254	8.226647292561172	3.942507478149097	3.1096906637033417	7.885193080844432	-0.190311504663093	-0.1601971207983901	7.694560723054234	8.173585127654123	3.8957956020603532	5.517814657079912	-0.6205398842371643	4.2798016413023525	-0.5231389253115939
ASV_35_DG-I-Clade-2	5.683601403174795	5.999112922025242	5.952279304511592	4.524377744099106	5.969028426786588	6.508077745488052	2.9706003761666793	5.9042717808337555	5.507220279277576	4.5596637019859925	5.9285989006840225	5.043480578717723	5.086201870775142	6.510828694902479	6.182102957056255	5.450778034960548	5.766773913985691	4.6956484257597175	-0.36070134761559913	3.9934134218070136	7.681281917639568	-0.3136103526789942	3.5207712772072544	7.790308493269382	4.197358666772451	5.733226921206532	-0.5407749048233423	8.575067672425812	4.706293270013571	-0.15723392396809466	-0.22233264020083254	5.1683147290259965	-0.20644565458451147	3.7853881160066365	4.838174000910885	-0.190311504663093	-0.1601971207983901	4.7565843923793745	5.806662252043344	4.987856451217892	4.0058480299513874	7.752200669991494	4.836298725549681	5.71994962101279
ASV_44_DG-II-Clade-1	4.747568228334933	5.153229715571744	4.399359787205731	3.080308403232804	5.506499667603063	5.0735887002178375	-0.7022259073929646	-0.48029100110001544	5.335728212798557	-0.7715634475565398	2.7543401413046276	4.948503321531308	4.425661580705047	5.870759683417367	-0.4889634582744602	5.436419767148759	4.788635949832471	-0.7636926664411181	-0.36070134761559913	6.014950217939596	7.619169108230306	-0.3136103526789942	4.942909189606682	6.988818656009032	-0.4238924586585835	5.223918399649391	6.115011427921459	5.993779697463538	5.534904953379191	7.112663361640433	6.7908555656104825	7.2627256498587425	5.316895543516857	5.475629144368745	7.197990921211952	-0.190311504663093	6.153835479520806	6.3391249679274315	4.186665871913541	6.944453047164013	7.24875548571415	6.401906606397979	5.406269715471879	4.256264537956535
ASV_7_DG-II-Clade-5	3.052370807272017	4.708333211055588	2.4953768951608026	1.0606717980059202	-0.6893247144837726	-0.6172653014098604	-0.7022259073929646	-0.48029100110001544	6.598696593599694	3.6672109192801985	-0.7421674201618522	6.8817056674564405	6.297163412487031	-0.6311726177392298	6.542333824070761	7.282733710043786	6.441108499277776	-0.7636926664411181	4.730999864062389	-0.4866208174049973	5.0579917541533	4.948969978308687	4.894322610698772	4.257392385322212	3.363096112005497	4.820346438396134	5.5898086282670585	3.772373088613598	3.04058486600268	8.858385535412278	8.785749308133619	7.298427114217432	9.026564896291116	8.016379663587086	7.468321222602633	9.51971618184307	9.38339312813725	5.7376666589987595	5.357665800929525	6.018752502210762	-0.5972986781347807	1.810900115039681	3.092639895250919	2.679878384295753
ASV_29_DG-II-Clade-7	7.164586898661957	6.969232055026348	7.289087117960632	6.280312884959829	7.847491294272796	6.546886932353907	-0.7022259073929646	-0.48029100110001544	7.019505770087582	-0.7715634475565398	3.7237406984927315	7.657563746480834	6.962487201291584	7.704525299591424	7.9639972371903305	7.069891580923475	7.487892585268355	5.994282209689836	-0.36070134761559913	-0.4866208174049973	5.662271909872543	-0.3136103526789942	6.172164284807845	5.8792866286944605	-0.4238924586585835	-0.3515025289235272	4.732569305645396	6.324721788046236	4.706293270013571	-0.15723392396809466	-0.22233264020083254	5.560106561687598	5.030543414946034	3.1096906637033417	5.587561017680823	-0.190311504663093	-0.1601971207983901	6.4557535695819475	5.644836149309174	6.175151658168046	5.486137221560665	4.291219441624593	4.4186154421993304	-0.5231389253115939
ASV_10_DG-I-Clade-7	7.160877536083623	7.261670358551669	6.200736890374197	7.893899423995158	4.319025659887687	4.669810522454014	6.865155411246136	7.79223635977228	4.511961567176362	5.198333032645644	8.518200445413978	-0.6613683359999492	-0.746523490138113	-0.6311726177392298	-0.4889634582744602	-0.713879995338381	5.491439786156425	8.187200837082681	-0.36070134761559913	1.9903134477618245	4.368914918331738	-0.3136103526789942	-0.5606824077657286	6.773109422576175	10.214394068045847	-0.3515025289235272	4.416036143298549	5.580101125056775	9.961170413330407	-0.15723392396809466	-0.22233264020083254	6.931878968582451	3.942507478149097	-0.2543055358279762	5.745445082724735	-0.190311504663093	-0.1601971207983901	5.350194737402608	8.056370269500544	3.0614732457753586	5.922543085448779	4.668382296677241	7.865905004941634	10.404507135158577
ASV_62_DG-I-Clade-4	4.3016157530417605	5.630591216421727	4.49133947802821	4.312410744887697	4.194753042548809	5.1909964756925335	2.1909320837195843	-0.48029100110001544	5.102710060731888	5.034168070601591	3.8925615680677836	4.639678976430182	5.417507296515856	3.381973885296609	4.496022469604417	5.0744469568934765	5.612892689214899	6.234670457367986	-0.36070134761559913	5.306823648752964	6.4412224471492	-0.3136103526789942	3.3018395699568863	6.921955521031371	7.265897403357761	5.733226921206532	4.637771638282838	7.422629362860658	6.185899796132113	-0.15723392396809466	-0.22233264020083254	-0.39238803867730887	-0.20644565458451147	-0.2543055358279762	-0.4775372736518424	6.27084522548906	-0.1601971207983901	6.016229255559805	4.83582354963504	6.451662262490604	6.058487654610021	6.76293009094516	7.419129348561666	6.54625170624132
ASV_55_DG-II-Clade-5	3.6562693015551213	4.365080910926845	3.5364786851432104	3.5365918057625	4.319025659887687	3.0175090872975243	-0.7022259073929646	-0.48029100110001544	4.109077739817708	1.3044461946096906	2.202271559004588	4.037689870816048	2.7171863402099703	4.0021110966568285	3.809691877503802	4.424935861982689	3.148519031575896	-0.7636926664411181	5.239363438391377	5.371171685050701	6.036268602648768	4.546092477651614	4.465838894595996	4.900727182681959	-0.4238924586585835	-0.3515025289235272	5.6274683859218255	5.370899632807888	3.901284714207428	6.889693841056534	6.7168168168171	6.6652760780438625	7.259377692878867	6.903901447058461	6.513810506511779	7.225394369677849	8.080178585066905	5.763378868213257	4.432081157979682	4.249527708568442	5.419603098710989	5.187626691412565	2.423028618064958	-0.5231389253115939
