interc	pval	asv_id	asv_id_star
NA	0.007	ASV_232_DG-II-Clade-1	**ASV_232_DG-II-Clade-1
NA	0.002	ASV_89_DG-II-Clade-5	**ASV_89_DG-II-Clade-5
NA	0.032	ASV_629_DG-II-Clade-22	*ASV_629_DG-II-Clade-22
NA	0.037	ASV_819_DG-I-Clade-5	*ASV_819_DG-I-Clade-5
NA	0.022	ASV_372_DG-II-Clade-29	*ASV_372_DG-II-Clade-29
NA	0.011	ASV_364_DG-V_X	*ASV_364_DG-V_X
NA	0.012	ASV_542_DG-I-Clade-5	*ASV_542_DG-I-Clade-5
NA	0.011	ASV_550_DG-II-Clade-14	*ASV_550_DG-II-Clade-14
NA	0.002	ASV_170_DG-II-Clade-5	**ASV_170_DG-II-Clade-5
NA	0.032	ASV_427_DG-V_X	*ASV_427_DG-V_X
NA	0.003	ASV_147_DG-II-Clade-1	**ASV_147_DG-II-Clade-1
NA	0.007	ASV_438_DG-II-Clade-7	**ASV_438_DG-II-Clade-7
NA	0.007	ASV_681_DG-III_X	**ASV_681_DG-III_X
NA	0.026	ASV_285_DG-II_X	*ASV_285_DG-II_X
NA	0.007	ASV_303_DG-II-Clade-9	**ASV_303_DG-II-Clade-9
NA	0.023	ASV_474_DG-II-Clade-27	*ASV_474_DG-II-Clade-27
NA	0.005	ASV_699_DG-II-Clade-19	**ASV_699_DG-II-Clade-19
NA	0.002	ASV_157_DG-II-Clade-1	**ASV_157_DG-II-Clade-1
NA	0.05	ASV_1019_DG-I-Clade-5	*ASV_1019_DG-I-Clade-5
NA	0.031	ASV_374_DG-II-Clade-1	*ASV_374_DG-II-Clade-1
NA	0.002	ASV_466_DG-II-Clade-1	**ASV_466_DG-II-Clade-1
NA	0.015	ASV_806_DG-III_X	*ASV_806_DG-III_X
NA	0.005	ASV_492_DG-II-Clade-27	**ASV_492_DG-II-Clade-27
NA	0.021	ASV_589_DG-II-Clade-5	*ASV_589_DG-II-Clade-5
NA	0.016	ASV_418_DG-II-Clade-7	*ASV_418_DG-II-Clade-7
NA	0.007	ASV_619_DG-II-Clade-7	**ASV_619_DG-II-Clade-7
NA	0.007	ASV_455_DG-II-Clade-10-and-11	**ASV_455_DG-II-Clade-10-and-11
NA	0.007	ASV_456_DG-II-Clade-7	**ASV_456_DG-II-Clade-7
NA	0.011	ASV_491_DG-II-Clade-1	*ASV_491_DG-II-Clade-1
NA	0.032	ASV_617_DG-II-Clade-7	*ASV_617_DG-II-Clade-7
NA	0.032	ASV_798_DG-I-Clade-5	*ASV_798_DG-I-Clade-5
NA	0.011	ASV_918_DG-I-Clade-5	*ASV_918_DG-I-Clade-5
NA	0.007	ASV_376_DG-II-Clade-3	**ASV_376_DG-II-Clade-3
NA	0.005	ASV_723_DG-I-Clade-4	**ASV_723_DG-I-Clade-4
NA	0.007	ASV_688_DG-II-Clade-21	**ASV_688_DG-II-Clade-21
NA	0.002	ASV_671_DG-II_X	**ASV_671_DG-II_X
NA	0.005	ASV_703_DG-I-Clade-5	**ASV_703_DG-I-Clade-5
NA	0.027	ASV_1033_DG-II-Clade-7	*ASV_1033_DG-II-Clade-7
NA	0.048	ASV_282_DG-II-Clade-1	*ASV_282_DG-II-Clade-1
NA	0.033	ASV_998_DG-II-Clade-6	*ASV_998_DG-II-Clade-6
NA	0.007	ASV_433_DG-II-Clade-14	**ASV_433_DG-II-Clade-14
